dishId,cluster,ingredientName
15383,4,"['黃瓜', '豬絞肉', '蔥', '薑', '紹興酒', '太白粉']"
15399,0,"['高筋麵粉', '酵母', '低筋麵粉', '奶粉', '雞蛋', '葡萄乾']"
15420,1,"['雞腿', '昆布', '蒜頭']"
15425,0,"['雞蛋', '九層塔', '中筋麵粉']"
15454,3,"['中筋麵粉', '四季豆', '雞肉', '冬粉']"
15459,1,"['雞腿', '薑', '杏鮑菇', '香菇']"
15461,4,"['蔥', '傳統豆腐', '番茄', '白菜', '太白粉']"
15483,3,['酥皮']
15490,0,"['低筋麵粉', '酵母', '牛奶', '雞蛋', '檸檬', '葡萄乾', '柳橙']"
15492,4,"['蛤蜊', '薑', '蒜頭', '紹興酒', '蔥']"
15500,0,"['低筋麵粉', '泡打粉', '雞蛋', '牛奶', '巧克力', '香蕉']"
15503,1,"['雞肉', '薑', '蒜頭', '香菇', '紹興酒']"
15504,2,"['牛腩', '番茄', '洋蔥', '蔥', '薑', '紹興酒']"
15507,2,"['蛤蜊', '蒜頭', '薑', '九層塔', '紹興酒']"
15510,1,"['豬絞肉', '洋蔥', '紅蘿蔔', '吐司', '牛奶']"
15514,0,"['起司', '馬鈴薯', '培根', '雞蛋']"
15525,2,"['豆皮', '豆芽菜', '蔥', '蒜頭', '紅蘿蔔', '紹興酒', '韭菜']"
15527,3,['干貝']
15531,3,"['蔥', '油豆腐', '高湯']"
15536,4,"['香菜', '蔥', '蒜頭', '豆干']"
15546,0,"['低筋麵粉', '高筋麵粉', '玉米粉', '雞蛋', '奶粉', '鳳梨']"
15550,0,"['雞蛋', '鮮奶油']"
15552,0,"['高筋麵粉', '酵母', '牛奶', '低筋麵粉', '玉米粉', '雞蛋']"
15560,1,"['杏鮑菇', '香菜', '薑']"
15561,2,"['鮭魚', '洋蔥', '蒜頭', '番茄', '酥皮', '雞蛋', '鮮奶油', '高湯']"
15576,1,['菜心']
15583,4,"['螃蟹', '雞蛋', '蔥', '蒜頭', '九層塔', '紹興酒']"
15586,3,['豆腐乳']
15594,1,"['南瓜', '洋蔥', '牛奶', '鮮奶油']"
15598,3,"['紅棗', '米粉']"
15599,4,"['甜椒', '香腸', '蔥', '蒜頭']"
15612,3,"['雞蛋', '巧克力']"
15629,2,"['高麗菜', '牛小排', '香菜', '蒜頭']"
15633,4,"['豆腐', '雞蛋', '梅子', '蔥', '蒜頭']"
15634,1,"['吐司', '蒜頭']"
15635,2,"['蒟蒻', '甜椒', '小黃瓜', '蒜頭']"
15636,1,"['大腸', '杏鮑菇', '九層塔', '蒜頭']"
15640,2,"['蝦子', '紅蘿蔔', '蔥', '蘆筍', '番茄', '香菇']"
15642,4,"['烏龍麵', '雞蛋', '蔥', '海苔']"
15643,4,"['馬鈴薯', '洋蔥', '豬肉', '紅蘿蔔', '鰹魚片']"
15644,1,"['雞腿', '蒜頭', '薑', '紹興酒']"
15650,4,"['蔥', '杏鮑菇', '鹹蛋', '蒜頭', '紹興酒', '高湯']"
15654,4,"['雞胸肉', '雞蛋', '太白粉', '薑', '花椰菜', '紹興酒']"
15667,2,"['排骨', '蔥', '洋蔥', '紅蘿蔔', '白蘿蔔', '蒜頭', '紹興酒']"
15673,4,"['雞腿', '雞翅', '馬鈴薯', '蘑菇', '蒜頭']"
15681,3,"['蝦子', '檸檬', '蔥']"
15682,4,"['芋頭', '地瓜', '太白粉']"
15683,2,"['四季豆', '豬五花肉', '紅蘿蔔', '薑', '蒜頭', '香菇', '米', '蝦子']"
15696,2,"['豬絞肉', '蒜頭', '番茄', '九層塔', '洋蔥', '高湯']"
15698,0,"['低筋麵粉', '雞蛋', '泡打粉', '檸檬', '橙汁', '鮮奶油']"
15705,0,"['雞蛋', '蔥', '中筋麵粉']"
15706,1,"['羊肉', '紹興酒', '薑', '紅棗']"
15712,0,"['雞蛋', '低筋麵粉', '泡打粉', '巧克力', '牛奶']"
15715,2,"['牛肋條', '高麗菜', '西洋芹', '馬鈴薯', '紅蘿蔔', '洋蔥']"
15731,3,"['巧克力', '蔓越莓']"
15733,1,"['棒棒腿', '蒜頭', '香菜']"
15740,4,"['蟹管肉', '薑', '紅蘿蔔', '傳統豆腐', '雞蛋', '蔥', '高湯', '太白粉', '紹興酒']"
15747,0,"['米粉', '低筋麵粉', '玉米粉', '泡打粉']"
15759,0,"['酵母', '高筋麵粉', '米']"
15768,3,['花枝']
15771,3,"['傳統豆腐', '蔥']"
15777,1,"['米', '花椰菜', '高麗菜', '蟹管肉', '玉米', '雞腿', '雞蛋', '魚板']"
15782,3,['花生']
15783,4,"['黃瓜', '紅蘿蔔', '香菇', '豬絞肉', '雞蛋', '太白粉']"
15789,2,"['豬絞肉', '蒜頭', '洋蔥', '雞蛋', '中筋麵粉', '馬鈴薯', '牛奶', '鮮奶油', '高麗菜']"
15796,1,"['茄子', '豬絞肉', '紹興酒', '起司']"
15798,3,"['鳳梨', '蘋果']"
15804,3,['粥']
15810,1,"['大白菜', '香菇', '魚皮', '蝦子']"
15813,3,['雞胸肉']
15816,1,"['香菇', '薑', '南瓜', '雞腿']"
15818,2,"['冬粉', '香菇', '蝦子', '肉絲', '紅蘿蔔', '蔥', '蒜頭', '大白菜']"
15833,3,"['雞腿', '蔥']"
15842,2,"['蘑菇', '紅蘿蔔', '蒜頭', '雞腿', '甜椒']"
15848,3,"['糯米', '鰹魚片']"
15864,1,"['小黃瓜', '香菜', '檸檬']"
15876,1,"['白飯', '玉米', '火腿', '花椰菜', '蘑菇', '起司', '甜椒']"
15877,4,"['蔥', '蒜頭', '雪花豬']"
15881,1,"['秀珍菇', '香菇', '蒜頭']"
15886,2,"['南瓜', '高湯', '洋蔥', '蒜頭', '香菜', '鮮奶油']"
15904,3,['牛小排']
15917,1,"['鴨肉', '香菇', '四季豆', '薑', '蒜頭', '紹興酒']"
15920,1,"['白飯', '海苔', '蝦子', '雞蛋']"
15927,1,"['香菇', '薑', '花枝', '甜豆']"
15939,1,"['筊白筍', '紅蘿蔔']"
15950,2,"['豬五花肉', '白蘿蔔', '蔥', '薑', '蒜頭', '紹興酒']"
15958,1,"['雞蛋', '牛奶', '高麗菜', '豬絞肉']"
15964,4,"['雞蛋', '牛奶', '香腸', '甜椒', '蔥']"
15968,4,"['芋頭', '蒜頭', '蔥', '雞胸肉']"
15974,2,"['花椰菜', '玉米', '蘑菇', '蒜頭', '洋蔥', '番茄', '米', '素肉', '海苔']"
15990,4,"['蝦子', '雞蛋', '太白粉', '蔥', '紹興酒', '蒜頭', '薑']"
16003,4,"['雞腿', '蒜頭', '蔥', '馬鈴薯', '雞蛋', '紹興酒']"
16006,1,"['牛小排', '蘆筍', '番茄', '起司']"
16015,2,"['排骨', '洋蔥', '芹菜', '香菇', '蒜頭', '紅蘿蔔', '雞蛋', '牛奶', '鮮奶油']"
16021,3,"['雞蛋豆腐', '蔥']"
16023,4,"['雞腿', '香菇', '蔥', '太白粉', '紹興酒']"
16026,1,"['南瓜', '糯米粉']"
16028,1,"['雪花豬', '蒜頭']"
16067,2,"['茄子', '薑', '蒜頭', '九層塔', '豬絞肉', '紹興酒', '太白粉', '蔥']"
16068,4,"['紅蘿蔔', '甜豆', '馬鈴薯', '薑', '排骨', '高湯', '紹興酒']"
16079,3,"['雞腿', '蔥']"
16093,3,"['傳統豆腐', '蔥']"
16096,2,"['豬絞肉', '洋蔥', '番茄', '高湯', '九層塔']"
16104,1,"['蒜頭', '紹興酒', '豬五花肉']"
16110,0,"['中筋麵粉', '酵母', '牛奶', '雞蛋', '巧克力']"
16112,3,['糙米']
16124,1,"['白蘿蔔', '紅蘿蔔']"
16129,4,"['蔥', '薑', '蒜頭', '紹興酒', '蝦子']"
16131,4,"['蒜頭', '蔥', '米']"
16134,3,"['四季豆', '蔥', '豬絞肉', '蝦子']"
16140,3,['雞翅']
16147,2,"['雞腿', '香菜', '薑', '蒜頭', '蔥', '紹興酒']"
16149,3,"['百香果', '蘋果']"
16158,2,"['義大利麵', '洋蔥', '蒜頭', '蘑菇', '蘆筍', '培根', '白酒', '鮮奶油', '起司']"
16162,4,"['筊白筍', '豬肉', '紅蘿蔔', '蔥']"
16187,4,"['蝦子', '豬絞肉', '嫩豆腐', '蔥', '紅蘿蔔', '太白粉', '紹興酒']"
16188,1,"['洋菇', '甜椒', '洋蔥', '米', '紹興酒', '高湯', '雞腿']"
16193,1,"['洋蔥', '花椰菜', '豬絞肉', '起司', '義大利麵', '白酒']"
16195,4,"['高湯', '雞蛋', '蔥', '太白粉', '大白菜', '豬絞肉', '鹹蛋']"
16200,0,"['高筋麵粉', '低筋麵粉', '奶粉', '酵母', '雞蛋']"
16206,0,"['中筋麵粉', '酵母']"
16212,4,"['蘆筍', '雞腿', '太白粉']"
16217,4,"['蛤蜊', '蒜頭', '薑', '蔥', '紹興酒']"
16222,2,"['雞胸肉', '香菇', '洋蔥', '甜椒', '竹筍', '太白粉']"
16225,0,"['低筋麵粉', '泡打粉', '牛奶', '雞蛋', '巧克力']"
16231,1,"['高筋麵粉', '雞蛋', '起司', '洋蔥', '花椰菜', '蘑菇', '培根', '鮮奶油']"
16235,2,"['蔥', '薑', '排骨', '紹興酒', '苦瓜', '蒜頭']"
16239,1,"['韭菜', '紹興酒', '薑', '豬五花肉']"
16243,0,"['高筋麵粉', '雞蛋', '酵母']"
16248,3,['蔥']
16249,3,"['雞蛋', '蔥']"
16252,3,['金棗']
16255,1,"['九層塔', '核桃', '蒜頭']"
16262,2,"['豆腐', '豬絞肉', '蝦子', '香菜', '大白菜', '蒜頭']"
16267,1,"['蒜頭', '洋蔥', '義大利麵', '高湯', '白酒', '花枝', '蛤蜊']"
16270,0,"['雞蛋', '泡打粉', '牛奶', '低筋麵粉']"
16273,3,"['蔥', '豬肉']"
16277,2,"['櫛瓜', '洋蔥', '薑', '蔥', '青椒', '豬肉', '高湯', '蒜頭', '紹興酒']"
16282,0,"['中筋麵粉', '酵母', '蔥']"
16291,0,"['吐司', '雞蛋', '牛奶']"
